antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({113}),frozenset({5}),0.14285714285714285,0.07142857142857142,0.07142857142857142,0.5,7.0,1.0,0.061224489795918366,1.8571428571428572,1.0,0.5,0.46153846153846156,0.75
frozenset({5}),frozenset({113}),0.07142857142857142,0.14285714285714285,0.07142857142857142,1.0,7.0,1.0,0.061224489795918366,inf,0.923076923076923,0.5,1.0,0.75
frozenset({42}),frozenset({147}),0.14285714285714285,0.14285714285714285,0.07142857142857142,0.5,3.5,1.0,0.05102040816326531,1.7142857142857144,0.8333333333333334,0.3333333333333333,0.41666666666666663,0.5
frozenset({147}),frozenset({42}),0.14285714285714285,0.14285714285714285,0.07142857142857142,0.5,3.5,1.0,0.05102040816326531,1.7142857142857144,0.8333333333333334,0.3333333333333333,0.41666666666666663,0.5
frozenset({42}),frozenset({197}),0.14285714285714285,0.21428571428571427,0.07142857142857142,0.5,2.3333333333333335,1.0,0.04081632653061225,1.5714285714285714,0.6666666666666667,0.25,0.36363636363636365,0.41666666666666663
frozenset({197}),frozenset({42}),0.21428571428571427,0.14285714285714285,0.07142857142857142,0.3333333333333333,2.3333333333333335,1.0,0.04081632653061225,1.2857142857142856,0.7272727272727274,0.25,0.22222222222222218,0.41666666666666663
frozenset({113}),frozenset({412}),0.14285714285714285,0.21428571428571427,0.07142857142857142,0.5,2.3333333333333335,1.0,0.04081632653061225,1.5714285714285714,0.6666666666666667,0.25,0.36363636363636365,0.41666666666666663
frozenset({412}),frozenset({113}),0.21428571428571427,0.14285714285714285,0.07142857142857142,0.3333333333333333,2.3333333333333335,1.0,0.04081632653061225,1.2857142857142856,0.7272727272727274,0.25,0.22222222222222218,0.41666666666666663
frozenset({113}),frozenset({443}),0.14285714285714285,0.2857142857142857,0.07142857142857142,0.5,1.75,1.0,0.030612244897959183,1.4285714285714286,0.5,0.2,0.3,0.375
frozenset({443}),frozenset({113}),0.2857142857142857,0.14285714285714285,0.07142857142857142,0.25,1.75,1.0,0.030612244897959183,1.142857142857143,0.6,0.2,0.125,0.375
frozenset({147}),frozenset({116}),0.14285714285714285,0.07142857142857142,0.07142857142857142,0.5,7.0,1.0,0.061224489795918366,1.8571428571428572,1.0,0.5,0.46153846153846156,0.75
frozenset({116}),frozenset({147}),0.07142857142857142,0.14285714285714285,0.07142857142857142,1.0,7.0,1.0,0.061224489795918366,inf,0.923076923076923,0.5,1.0,0.75
frozenset({241}),frozenset({197}),0.07142857142857142,0.21428571428571427,0.07142857142857142,1.0,4.666666666666667,1.0,0.05612244897959184,inf,0.8461538461538461,0.3333333333333333,1.0,0.6666666666666666
frozenset({197}),frozenset({241}),0.21428571428571427,0.07142857142857142,0.07142857142857142,0.3333333333333333,4.666666666666667,1.0,0.05612244897959184,1.3928571428571428,1.0000000000000002,0.3333333333333333,0.282051282051282,0.6666666666666666
